1111111		A               72               114
1112222		A               94               134
1113333         A              135               318
1114444         A              210                35
1115555         A              411                87
1116666         A	        36	     	   7
2221111		B               72               114
2222222 	B               94               134
2223333         B              135            	 318
2224444         B              210                35
2225555         B              411                87
2226666         B	        36	     	   7
0		0		0		   0
