111                70 	      80	     90	  	98	
222                90         80             77         65
333               100         95             80         90
444                67         60             75         70
555                88         69             85         71
666                78         98             82         77
777                45         56             67         60
888                70         89             88         75
999		   85         90             81	  	80
100		   55	      75	     93	  	95
200		   93	      71	     75	  	82
300                76	      93	     87	  	98
